file_name,signal_mean,signal_std,signal_skew,signal_kurtosis,zcr_mean,zcr_std,rmse_mean,rmse_std,tempo,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_2_mean,spectral_bandwidth_2_std,spectral_bandwidth_3_mean,spectral_bandwidth_3_std,spectral_bandwidth_4_mean,spectral_bandwidth_4_std,spectral_contrast_1_mean,spectral_contrast_2_mean,spectral_contrast_3_mean,spectral_contrast_4_mean,spectral_contrast_5_mean,spectral_contrast_6_mean,spectral_contrast_7_mean,spectral_contrast_1_std,spectral_contrast_2_std,spectral_contrast_3_std,spectral_contrast_4_std,spectral_contrast_5_std,spectral_contrast_6_std,spectral_contrast_7_std,spectral_rolloff_mean,spectral_rolloff_std,mfccs_1_mean,mfccs_2_mean,mfccs_3_mean,mfccs_4_mean,mfccs_5_mean,mfccs_6_mean,mfccs_7_mean,mfccs_8_mean,mfccs_9_mean,mfccs_10_mean,mfccs_11_mean,mfccs_12_mean,mfccs_13_mean,mfccs_14_mean,mfccs_15_mean,mfccs_16_mean,mfccs_17_mean,mfccs_18_mean,mfccs_19_mean,mfccs_20_mean,mfccs_1_std,mfccs_2_std,mfccs_3_std,mfccs_4_std,mfccs_5_std,mfccs_6_std,mfccs_7_std,mfccs_8_std,mfccs_9_std,mfccs_10_std,mfccs_11_std,mfccs_12_std,mfccs_13_std,mfccs_14_std,mfccs_15_std,mfccs_16_std,mfccs_17_std,mfccs_18_std,mfccs_19_std,mfccs_20_std,chroma_stft_1_mean,chroma_stft_2_mean,chroma_stft_3_mean,chroma_stft_4_mean,chroma_stft_5_mean,chroma_stft_6_mean,chroma_stft_7_mean,chroma_stft_8_mean,chroma_stft_9_mean,chroma_stft_10_mean,chroma_stft_11_mean,chroma_stft_12_mean,chroma_stft_1_std,chroma_stft_2_std,chroma_stft_3_std,chroma_stft_4_std,chroma_stft_5_std,chroma_stft_6_std,chroma_stft_7_std,chroma_stft_8_std,chroma_stft_9_std,chroma_stft_10_std,chroma_stft_11_std,chroma_stft_12_std
blues.00010.wav,0.114,0.172,1.981,3.319,0.063,0.021,0.143,0.096,161.499,1372.044,450.712,1504.432,377.258,1999.506,324.627,1999.506,324.627,16.172,16.379,21.304,21.594,18.676,17.766,35.722,5.309,5.438,6.311,5.718,4.874,3.51,5.551,2708.312,1189.484,-173.81,137.174,-23.723,26.98,-16.675,4.195,-12.572,5.852,-2.877,-1.178,-1.968,1.801,-3.007,-1.867,-0.791,-3.006,-0.431,-1.997,-0.75,-5.007,90.239,32.904,32.077,22.258,17.023,12.652,12.269,9.08,10.421,8.102,7.452,7.611,9.677,6.334,7.052,7.937,7.554,7.457,6.869,6.817,0.461,0.169,0.191,0.378,0.354,0.458,0.274,0.319,0.186,0.204,0.323,0.315,0.378,0.19,0.19,0.363,0.275,0.418,0.25,0.303,0.224,0.236,0.307,0.264
blues.00011.wav,0.054,0.083,1.951,3.403,0.044,0.043,0.066,0.05,161.499,1238.868,655.728,1725.707,474.066,2301.668,376.751,2301.668,376.751,27.473,16.882,17.701,17.877,17.399,16.091,32.16,5.884,4.812,4.67,3.851,3.186,2.488,5.071,2685.114,1677.223,-287.932,124.011,5.467,33.663,1.092,14.704,-4.881,8.669,0.784,6.576,-4.876,-3.177,-5.538,-6.779,-2.647,-2.99,-3.383,-1.859,1.839,-4.891,77.015,31.544,17.38,18.561,21.005,15.342,12.228,13.759,12.193,10.688,9.684,9.176,8.111,7.8,7.45,7.385,6.312,6.843,6.088,5.304,0.247,0.229,0.306,0.414,0.657,0.54,0.352,0.349,0.347,0.349,0.276,0.321,0.27,0.21,0.248,0.278,0.374,0.35,0.252,0.305,0.301,0.317,0.275,0.336
blues.00012.wav,0.096,0.135,1.714,2.014,0.069,0.049,0.119,0.064,92.285,1329.816,503.225,1559.975,211.67,2060.629,196.332,2060.629,196.332,16.892,18.892,21.022,20.096,21.639,22.807,33.537,4.761,5.094,4.862,4.864,4.393,4.059,3.491,2695.422,993.027,-207.238,132.827,-15.454,60.981,0.719,12.461,1.163,-1.533,-17.896,8.36,-2.46,-0.585,0.372,2.598,-5.186,-9.53,-9.237,-2.847,-1.419,-5.933,67.644,25.807,30.582,18.181,17.719,10.055,10.389,10.566,9.817,9.737,11.818,9.63,9.281,7.33,6.775,8.322,7.973,8.297,10.61,9.564,0.325,0.16,0.215,0.203,0.194,0.261,0.308,0.159,0.179,0.208,0.348,0.652,0.239,0.211,0.302,0.261,0.283,0.301,0.333,0.196,0.238,0.256,0.229,0.398
blues.00013.wav,0.091,0.13,1.92,2.66,0.051,0.035,0.113,0.065,107.666,1291.523,402.428,1816.102,271.744,2447.317,267.884,2447.317,267.884,17.057,18.544,21.599,18.856,19.588,19.255,34.973,4.738,5.313,4.9,4.31,4.071,4.095,1.904,2641.598,1012.966,-209.804,124.465,10.309,47.016,6.478,15.415,-2.016,6.726,-21.543,10.721,-5.533,-2.196,-3.049,8.644,-0.307,-0.633,-2.934,-1.706,-1.767,-7.755,44.37,23.279,25.732,12.183,10.095,12.09,8.333,8.719,9.819,9.791,9.521,7.694,7.233,8.471,8.283,9.412,9.869,10.21,9.425,10.669,0.129,0.144,0.172,0.147,0.188,0.229,0.155,0.216,0.343,0.385,0.689,0.375,0.177,0.239,0.244,0.228,0.25,0.257,0.18,0.244,0.344,0.242,0.379,0.249
blues.00014.wav,0.053,0.085,2.755,6.82,0.045,0.039,0.067,0.052,151.999,1109.168,390.291,1667.294,276.774,2301.411,364.542,2301.411,364.542,17.68,19.683,23.631,19.516,20.491,19.447,30.891,4.339,5.284,5.924,5.604,5.311,5.241,3.072,2133.194,932.778,-305.664,113.071,12.107,45.052,17.734,14.59,4.148,0.226,-7.022,13.646,8.914,1.304,5.955,8.547,1.12,0.598,0.061,-3.714,-0.994,-1.804,90.513,26.118,38.246,14.986,15.775,12.433,12.554,12.919,9.879,8.764,9.488,7.918,8.02,8.718,11.705,8.23,9.828,8.103,9.454,10.654,0.294,0.314,0.291,0.236,0.291,0.312,0.234,0.233,0.284,0.379,0.621,0.433,0.322,0.334,0.312,0.271,0.304,0.319,0.248,0.246,0.284,0.291,0.421,0.334
blues.00015.wav,0.064,0.097,2.483,5.2,0.064,0.044,0.081,0.053,99.384,1367.306,444.144,1713.633,267.867,2288.687,311.064,2288.687,311.064,16.855,18.556,20.964,19.733,20.291,20.023,33.095,4.623,4.465,5.378,5.169,4.409,4.173,2.805,2823.897,817.536,-238.52,120.102,-4.222,42.295,5.924,13.911,5.351,1.895,-16.928,12.343,3.939,-1.397,0.013,3.585,-4.501,-5.54,-6.885,-4.825,1.744,-1.878,66.179,26.985,31.286,19.575,17.284,10.834,10.938,11.995,9.477,8.731,9.034,7.804,7.782,9.461,10.094,8.799,9.673,8.106,8.848,11.452,0.281,0.163,0.243,0.244,0.281,0.295,0.265,0.17,0.19,0.239,0.339,0.519,0.238,0.209,0.339,0.296,0.341,0.332,0.295,0.212,0.242,0.274,0.271,0.412
blues.00016.wav,0.065,0.096,2.241,4.025,0.061,0.038,0.081,0.051,103.359,1403.311,385.315,1807.448,323.681,2399.802,354.863,2399.802,354.863,16.851,17.971,21.037,18.757,20.261,18.605,33.908,4.64,4.561,5.31,5.263,4.597,4.551,2.521,2893.535,954.565,-233.773,120.664,-3.164,39.515,3.832,18.828,-3.679,4.425,-14.965,17.571,1.846,2.55,-1.23,8.437,-0.2,-3.891,-4.456,0.011,1.295,-2.098,70.418,23.701,34.746,19.92,16.866,12.503,10.022,10.56,10.076,10.11,10.419,8.157,8.066,8.059,7.696,8.836,9.108,9.274,9.141,10.041,0.236,0.173,0.146,0.247,0.409,0.256,0.257,0.342,0.492,0.564,0.292,0.246,0.291,0.226,0.199,0.254,0.358,0.257,0.28,0.316,0.33,0.396,0.244,0.281
blues.00017.wav,0.074,0.104,2.029,2.913,0.048,0.029,0.093,0.046,161.499,1063.633,480.052,1401.337,266.904,1941.362,200.865,1941.362,200.865,15.957,18.989,22.635,19.933,21.301,21.696,31.497,4.711,4.748,5.004,4.796,4.459,3.632,4.071,2092.36,1053.799,-245.687,140.481,-2.791,60.405,18.904,9.828,3.564,0.523,-16.378,6.629,7.258,-4.021,1.601,5.897,-3.017,-4.776,-3.036,-1.998,-0.05,-3.962,72.085,28.287,28.21,18.997,15.344,9.991,10.888,9.659,11.363,10.258,9.84,8.446,8.542,8.869,7.484,7.64,8.106,8.057,7.933,8.051,0.306,0.208,0.159,0.158,0.306,0.26,0.254,0.311,0.413,0.579,0.355,0.31,0.329,0.243,0.226,0.186,0.323,0.246,0.279,0.29,0.288,0.385,0.231,0.319
blues.00018.wav,0.065,0.096,2.373,4.629,0.056,0.042,0.08,0.054,83.354,1472.416,414.165,2031.665,365.316,2628.32,339.193,2628.32,339.193,18.179,18.67,23.509,18.935,19.752,18.244,34.694,4.918,4.921,6.644,4.989,4.734,4.841,2.212,3355.274,1286.554,-252.482,104.945,15.296,42.688,6.77,21.612,-1.311,5.682,-16.637,12.169,-1.962,1.96,-0.898,7.762,2.376,1.779,1.331,3.615,4.907,-2.661,53.611,24.578,25.728,12.756,9.637,10.829,8.572,10.026,11.207,11.12,7.223,8.047,6.983,8.456,10.1,9.646,11.49,13.501,12.315,9.822,0.213,0.163,0.189,0.203,0.219,0.281,0.331,0.252,0.33,0.377,0.301,0.397,0.244,0.235,0.267,0.263,0.283,0.326,0.351,0.276,0.314,0.367,0.27,0.408
blues.00019.wav,0.077,0.11,2.049,3.107,0.059,0.042,0.098,0.051,123.047,1164.824,499.075,1470.356,216.834,2049.368,183.811,2049.368,183.811,16.514,18.342,22.742,19.257,20.71,20.673,32.132,5.07,5.189,4.837,4.434,4.397,3.71,3.552,2183.538,1108.419,-236.679,138.406,-4.93,47.654,5.158,8.888,0.487,-3.788,-14.985,10.429,-0.341,0.783,1.781,4.23,-0.475,-6.105,-5.395,-1.345,-3.725,-4.374,74.677,23.158,34.16,17.642,21.594,9.575,9.903,12.61,8.795,10.223,11.598,8.971,8.827,8.58,7.956,8.985,9.773,9.624,8.516,8.181,0.198,0.193,0.159,0.256,0.339,0.146,0.14,0.247,0.44,0.554,0.252,0.176,0.288,0.252,0.245,0.291,0.366,0.209,0.216,0.288,0.308,0.416,0.225,0.24
blues.00020.wav,0.059,0.091,2.836,6.791,0.053,0.025,0.075,0.05,135.999,1338.884,308.256,1891.439,285.046,2521.983,284.83,2521.983,284.83,16.314,15.951,20.526,17.661,18.53,17.232,34.278,4.548,4.275,5.106,4.121,3.797,3.399,2.161,2881.96,915.731,-230.364,127.078,7.115,39.767,1.922,17.411,-5.627,8.241,-18.116,13.845,-3.757,2.58,-4.317,6.798,-6.167,-6.201,-4.502,-1.826,-0.516,1.507,54.673,19.944,24.503,13.267,10.79,10.009,8.926,8.336,7.756,8.527,8.46,8.637,7.911,7.882,7.79,7.063,7.275,8.571,9.738,8.593,0.26,0.172,0.218,0.281,0.495,0.259,0.22,0.333,0.385,0.305,0.281,0.417,0.252,0.227,0.284,0.253,0.396,0.234,0.246,0.316,0.348,0.305,0.261,0.358
blues.00021.wav,0.081,0.116,2.098,3.216,0.048,0.048,0.101,0.057,99.384,1015.82,539.722,1463.742,257.9,2105.043,262.86,2105.043,262.86,19.322,18.657,22.579,20.371,21.419,20.522,32.141,4.924,4.96,4.839,4.924,5.322,5.317,3.683,1768.687,1171.081,-264.671,138.854,11.167,48.524,14.904,20.586,3.206,1.264,-15.839,15.975,3.358,-1.507,1.897,6.313,-0.996,-2.415,-3.679,0.499,5.044,-0.786,79.629,31.645,35.827,19.268,15.753,11.402,10.953,10.218,9.767,9.236,8.896,8.481,8.369,8.277,9.063,9.461,9.693,10.918,10.851,12.186,0.231,0.161,0.18,0.219,0.388,0.557,0.455,0.445,0.403,0.295,0.283,0.232,0.279,0.181,0.216,0.209,0.335,0.417,0.352,0.319,0.328,0.253,0.341,0.254
blues.00022.wav,0.09,0.129,2.109,3.344,0.059,0.054,0.113,0.061,99.384,1129.203,561.258,1485.467,238.054,2072.137,243.551,2072.137,243.551,18.647,17.91,22.696,20.28,21.423,21.983,33.046,4.782,4.953,5.25,5.164,4.846,5.267,4.093,2116.183,1165.273,-233.963,136.145,3.307,48.931,8.705,13.99,5.363,0.41,-13.484,16.86,5.135,-2.231,3.954,5.313,0.808,-1.1,-4.54,-2.426,3.324,-0.606,80.649,30.979,34.102,19.595,17.453,12.861,10.272,11.32,12.328,9.096,10.694,8.788,8.124,9.127,10.05,8.96,8.867,10.02,10.923,11.975,0.387,0.232,0.212,0.255,0.327,0.496,0.353,0.316,0.277,0.314,0.248,0.236,0.362,0.232,0.278,0.292,0.314,0.408,0.308,0.301,0.255,0.316,0.279,0.234
blues.00023.wav,0.081,0.118,2.075,3.315,0.052,0.033,0.102,0.06,95.703,1176.38,359.58,1486.488,216.711,1997.481,261.27,1997.481,261.27,16.078,19.501,24.157,21.214,20.586,20.627,30.661,4.648,4.999,5.033,4.838,4.602,4.063,2.141,2454.069,780.413,-227.256,137.765,-14.502,63.575,5.602,11.989,1.889,-1.871,-7.618,-2.452,-2.898,-9.434,-10.939,3.564,4.153,0.095,-2.98,-1.387,7.535,-3.044,64.377,22.52,35.287,14.525,12.351,9.674,10.127,9.342,9.875,9.881,10.206,9.377,10.757,8.302,8.792,6.724,8.176,9.083,9.666,8.606,0.209,0.276,0.192,0.205,0.483,0.239,0.125,0.164,0.278,0.655,0.377,0.195,0.249,0.334,0.245,0.196,0.387,0.21,0.19,0.217,0.216,0.371,0.254,0.224
blues.00024.wav,0.069,0.1,2.268,4.131,0.047,0.033,0.087,0.05,103.359,1083.494,420.63,1432.1,224.647,1928.969,240.498,1928.969,240.498,16.015,21.705,23.978,20.158,20.048,21.269,28.824,4.011,6.063,5.816,4.909,4.43,4.777,2.007,2232.217,1097.369,-274.377,130.407,-6.357,70.388,13.27,9.472,7.733,-1.237,-0.571,-2.297,3.779,0.085,-0.937,2.297,4.29,-1.662,-10.439,-6.793,-1.064,-1.589,76.943,22.37,36.647,17.649,15.178,12.471,11.023,12.258,9.704,8.299,8.76,8.574,11.253,7.947,8.343,6.92,7.007,6.278,6.651,9.138,0.287,0.239,0.226,0.174,0.217,0.226,0.104,0.085,0.142,0.343,0.643,0.499,0.296,0.288,0.297,0.254,0.288,0.292,0.153,0.157,0.192,0.276,0.379,0.358
blues.00025.wav,0.071,0.105,2.616,5.393,0.052,0.037,0.089,0.056,92.285,1083.777,372.984,1452.417,186.691,1981.316,247.913,1981.316,247.913,14.451,18.318,22.941,20.23,20.239,20.787,30.205,4.231,4.742,5.551,4.393,4.741,4.71,1.616,2188.235,930.065,-249.315,131.0,0.678,66.704,17.911,4.623,6.604,1.242,1.41,-1.585,-0.973,-3.573,-2.93,4.596,7.481,-0.193,-2.826,-2.683,0.741,-0.529,63.069,18.391,39.736,17.274,13.547,13.16,9.819,9.913,8.703,9.579,10.062,9.226,9.288,7.901,9.573,10.031,9.345,8.791,8.719,8.225,0.242,0.206,0.266,0.18,0.233,0.305,0.138,0.11,0.172,0.427,0.777,0.419,0.23,0.235,0.301,0.233,0.259,0.308,0.153,0.148,0.187,0.228,0.331,0.255
blues.00026.wav,0.062,0.109,3.596,12.141,0.052,0.039,0.077,0.077,83.354,1141.067,404.38,1546.384,268.84,2083.616,322.129,2083.616,322.129,17.453,19.93,23.142,21.203,21.686,20.323,29.926,3.999,5.702,6.84,5.167,5.124,4.997,2.506,2322.247,1015.563,-284.641,108.801,9.085,51.198,18.072,7.602,8.756,2.354,0.003,2.248,4.199,-3.283,1.618,2.679,3.344,3.279,-4.533,0.488,5.921,3.222,78.756,25.991,38.012,17.221,14.52,13.487,11.046,10.155,9.667,10.3,9.182,9.887,8.281,8.616,9.584,10.763,11.739,10.289,11.857,13.027,0.377,0.248,0.218,0.148,0.206,0.367,0.198,0.154,0.197,0.248,0.467,0.511,0.322,0.237,0.3,0.208,0.259,0.367,0.221,0.231,0.24,0.227,0.34,0.39
blues.00027.wav,0.076,0.107,1.796,2.196,0.072,0.05,0.096,0.047,95.703,1354.006,444.637,1488.266,200.803,1921.591,234.384,1921.591,234.384,18.538,19.934,24.466,22.178,22.387,22.86,30.796,5.194,4.853,4.85,4.596,5.059,4.8,1.982,2752.37,743.878,-228.21,130.323,-23.311,70.201,1.131,7.584,0.901,1.983,-6.164,-9.383,-2.564,-4.526,-0.26,0.176,-1.523,1.466,-6.979,-8.328,4.237,0.989,53.045,26.257,30.451,19.941,13.481,12.413,10.017,9.396,7.865,9.277,10.384,7.681,8.234,7.553,8.913,8.973,8.066,9.585,10.939,11.489,0.378,0.239,0.279,0.245,0.414,0.294,0.2,0.124,0.166,0.219,0.335,0.56,0.288,0.246,0.326,0.243,0.37,0.266,0.282,0.209,0.216,0.23,0.263,0.391
